month,log_equity_premium,equity_premium,DP,DY,EP,SVAR,BM,NTIS,TBL,LTR,TMS,DFY,DFR,INFL,MA_1_9,MA_1_12,MA_2_9,MA_2_12,MA_3_9,MA_3_12,MOM_1,MOM_2,MOM_3,MOM_6,MOM_9,MOM_12
192701,-0.00571033,-0.00571,-2.942374495,-2.963349047,-2.374773288,0.00047,0.44371,0.05082,3.23,0.75,0.28,0.95,-0.19,0,1,1,1,1,1,1,0,0,1,1,1,1
192702,0.042017489,0.04302,-2.979534686,-2.932945854,-2.430352781,0.00029,0.4285,0.05167,3.29,0.88,0.18,0.92,-0.19,-1.13,1,1,1,1,1,1,1,1,1,1,1,1
192703,0.004696713,0.00472,-2.976535097,-2.970053259,-2.445078688,0.00092,0.46977,0.04636,3.2,2.53,0.11,0.92,-1.7,-0.571,1,1,1,1,1,1,1,1,1,1,1,1
192704,0.009940459,0.01002,-2.98422499,-2.967142724,-2.471308627,0.0006,0.45675,0.05051,3.39,-0.05,-0.06,0.9,0.6,-0.575,1,1,1,1,1,1,1,1,1,1,1,1
192705,0.057986555,0.05985,-3.025963334,-2.975058259,-2.531445828,0.00039,0.43478,0.05528,3.33,1.09,-0.06,0.93,-1.2,0,1,1,1,1,1,1,1,1,1,1,1,1
192706,-0.023575839,-0.02337,-3.007308841,-3.016742874,-2.531329949,0.00082,0.45239,0.05882,3.07,-0.69,0.27,0.97,1.12,0.578,1,1,1,1,1,1,0,1,1,1,1,1
192707,0.07847632,0.08185,-3.061144242,-2.998172622,-2.603707368,0.00043,0.41455,0.05975,2.96,0.5,0.37,0.95,-0.47,1.149,1,1,1,1,1,1,1,1,1,1,1,1
192708,0.029781411,0.03032,-3.095764479,-3.052225264,-2.656741691,0.00128,0.39623,0.05452,2.7,0.76,0.59,0.92,0.07,-1.705,1,1,1,1,1,1,1,1,1,1,1,1
192709,0.048866139,0.05022,-3.129096986,-3.086791005,-2.707758528,0.00112,0.38059,0.09461,2.68,0.18,0.62,0.88,1.31,-0.578,1,1,1,1,1,1,1,1,1,1,1,1
192710,-0.050028332,-0.0489,-3.065649787,-3.120203318,-2.662875402,0.00156,0.4138,0.09437,3.08,0.99,0.17,0.87,-0.44,0.581,1,1,1,1,1,1,0,0,1,1,1,1
192711,0.065675655,0.06805,-3.122543244,-3.056965522,-2.73821796,0.00093,0.3794,0.08227,3.04,0.97,0.16,0.86,-0.29,0.578,1,1,1,1,1,1,1,1,1,1,1,1
192712,0.017018319,0.0172,-3.132666959,-3.113803868,-2.76694218,0.0006,0.37469,0.07647,3.17,0.72,-0.01,0.86,-0.04,-0.575,1,1,1,1,1,1,1,1,1,1,1,1
192801,-0.009403484,-0.00938,-3.118894006,-3.124003299,-2.74132392,0.00086,0.37867,0.0626,3.31,-0.36,-0.1,0.89,0.63,0,1,1,1,1,1,1,0,1,1,1,1,1
192802,-0.015126297,-0.01505,-3.0926312,-3.110432417,-2.704291342,0.00069,0.38608,0.05517,3.33,0.61,-0.15,0.87,0.07,0,1,1,1,1,1,1,0,0,0,1,1,1
192803,0.097229271,0.10245,-3.186980117,-3.084114019,-2.788288955,0.00138,0.36325,0.05436,3.27,0.45,-0.1,0.86,-0.04,-1.156,1,1,1,1,1,1,1,1,1,1,1,1
192804,0.03124472,0.03183,-3.210430574,-3.178534866,-2.800831935,0.00149,0.3681,0.04937,3.62,-0.04,-0.43,0.87,0.18,0,1,1,1,1,1,1,1,1,1,1,1,1
192805,0.010057021,0.01013,-3.214759309,-3.202180527,-2.795243413,0.0019,0.3544,0.04719,3.9,-0.77,-0.63,0.93,-0.01,0,1,1,1,1,1,1,1,1,1,1,1,1
192806,-0.038128009,-0.03753,-3.165110341,-3.206453305,-2.73525378,0.00365,0.3703,0.0503,3.92,0.41,-0.66,0.98,-0.65,0.585,1,1,1,1,1,1,0,0,1,1,1,1
192807,0.006973931,0.00702,-3.169301712,-3.156872759,-2.729377407,0.00167,0.36065,0.05938,4.12,-2.17,-0.68,0.97,2.07,-0.581,1,1,1,1,1,1,1,0,0,1,1,1
192808,0.064678688,0.06703,-3.232747346,-3.161252888,-2.783670503,0.00123,0.32403,0.0574,4.36,0.76,-0.95,0.97,0.07,0,1,1,1,1,1,1,1,1,1,1,1,1
192809,0.018967695,0.01921,-3.248317648,-3.224642299,-2.790435379,0.00065,0.32817,0.02798,4.57,-0.41,-1.11,0.98,0.71,0,1,1,1,1,1,1,1,1,1,1,1,1
192810,0.01104874,0.01114,-3.254679872,-3.240277765,-2.787458885,0.00068,0.30893,0.03402,4.7,1.58,-1.34,0.97,-0.75,1.17,1,1,1,1,1,1,1,1,1,1,1,1
192811,0.111894248,0.11888,-3.360085479,-3.246822689,-2.884376585,0.00152,0.26553,0.03837,4.26,0.03,-0.88,0.97,-0.39,-0.578,1,1,1,1,1,1,1,1,1,1,1,1
192812,0.002417876,0.00243,-3.355050779,-3.352171896,-2.87044835,0.00408,0.25967,0.06307,4.26,0.04,-0.86,0.99,0.8,0,1,1,1,1,1,1,1,1,1,1,1,1
192901,0.053386345,0.05487,-3.398869092,-3.343354739,-2.912288506,0.0017,0.24535,0.07845,4.66,-0.9,-1.17,1.01,1.33,-0.581,1,1,1,1,1,1,1,1,1,1,1,1
192902,-0.00827613,-0.00827,-3.381463718,-3.38730827,-2.892954222,0.00267,0.24542,0.07178,4.39,-1.57,-0.76,1,1.87,0,1,1,1,1,1,1,0,1,1,1,1,1
192903,-0.003443547,-0.00345,-3.367687603,-3.370035022,-2.876600972,0.00361,0.2723,0.0798,4.6,-1.44,-0.83,1.09,0.57,0,1,1,1,1,1,1,0,0,1,1,1,1
192904,0.015976929,0.01616,-3.372319995,-3.356388048,-2.879406652,0.0023,0.2634,0.09932,4.8,2.75,-1.22,1.11,-2.56,-0.585,1,1,1,1,1,1,1,1,1,1,1,1
192905,-0.045749753,-0.04488,-3.317413115,-3.361146695,-2.822716873,0.00476,0.28277,0.11799,5.09,-1.62,-1.36,1.1,2.07,-0.588,1,1,1,1,1,1,0,0,0,1,1,1
192906,0.102030605,0.10789,-3.412850827,-3.306363279,-2.916413941,0.00134,0.25358,0.1162,4.8,1.1,-1.13,1.17,-1.56,0.592,1,1,1,1,1,1,1,1,1,1,1,1
192907,0.043613161,0.04481,-3.446530923,-3.401921757,-2.948394159,0.00128,0.24188,0.11069,4.55,0,-0.86,1.18,0.2,0.588,1,1,1,1,1,1,1,1,1,1,1,1
192908,0.087341068,0.09157,-3.529202781,-3.435720007,-3.029405489,0.00338,0.22112,0.11528,4.7,-0.34,-0.95,1.25,0.54,1.17,1,1,1,1,1,1,1,1,1,1,1,1
192909,-0.056275279,-0.05494,-3.468391947,-3.518507492,-2.966972121,0.00339,0.24487,0.12139,4.58,0.27,-0.83,1.32,0.07,0,1,1,1,1,1,1,0,1,1,1,1,1
192910,-0.209473094,-0.18965,-3.235577674,-3.457809838,-2.731935686,0.05351,0.30748,0.15961,4.37,3.82,-0.9,1.34,-3.09,0,0,0,0,1,1,1,0,0,0,0,0,1
192911,-0.138532358,-0.12996,-3.081527634,-3.225106375,-2.57634289,0.03645,0.35196,0.17704,3.47,2.36,-0.16,1.27,-2.54,0,0,0,0,0,0,0,0,0,0,0,0,0
192912,0.023678775,0.02405,-3.096183853,-3.071164847,-2.589490466,0.01021,0.33846,0.16352,3.03,-0.89,0.37,1.28,2.81,0,0,0,0,0,0,0,1,0,0,0,0,0
193001,0.054226619,0.05593,-3.155956648,-3.095359451,-2.68356095,0.00143,0.31482,0.15331,3.39,-0.57,0.08,1.26,1.16,-0.578,0,0,0,0,0,0,1,1,0,0,0,0
193002,0.024307711,0.02464,-3.176302787,-3.155030007,-2.740131512,0.00172,0.31021,0.15926,3.36,1.29,0.03,1.2,-0.57,-0.581,0,0,0,0,0,0,1,1,1,0,0,0
193003,0.066856993,0.06935,-3.252345407,-3.175479826,-2.852896647,0.0015,0.31912,0.1455,2.95,0.83,0.4,1.11,0.55,-0.585,0,0,0,0,0,0,1,1,1,0,0,0
193004,-0.017531964,-0.01744,-3.241930723,-3.251523123,-2.880540723,0.00193,0.32697,0.12968,3,-0.16,0.38,1.1,1,-0.588,0,0,1,0,0,0,0,1,1,1,0,0
193005,-0.013310425,-0.01325,-3.224403529,-3.241006461,-2.903358953,0.00469,0.33192,0.12493,2.41,1.39,0.88,1.12,-0.82,0.592,1,0,1,0,1,0,0,0,1,1,0,0
193006,-0.171867712,-0.15832,-3.043789569,-3.223582679,-2.763829542,0.01445,0.40338,0.131,1.89,0.51,1.39,1.21,0.59,-0.588,0,0,0,0,1,0,0,0,0,0,0,0
193007,0.035283197,0.03601,-3.0789704,-3.042969392,-2.841783675,0.00492,0.39019,0.14055,1.83,0.34,1.44,1.25,0.22,-0.592,0,0,0,0,0,0,1,0,0,0,0,0
193008,0.009208964,0.00927,-3.085563806,-3.078048505,-2.893934484,0.00405,0.37975,0.12149,1.53,0.13,1.75,1.26,1.23,-1.19,0,0,0,0,0,0,1,1,0,0,1,0
193009,-0.132775217,-0.12445,-2.945380789,-3.084745056,-2.800406169,0.00374,0.44558,0.1272,1.77,0.74,1.47,1.23,0.34,-0.602,0,0,0,0,0,0,0,0,0,0,0,0
193010,-0.089587214,-0.08588,-2.851616597,-2.944562709,-2.755498291,0.01288,0.49795,0.12949,1.74,0.35,1.5,1.52,0.19,0.606,0,0,0,0,0,0,0,0,0,0,0,0
193011,-0.020837032,-0.02064,-2.828613199,-2.850697056,-2.784854344,0.00716,0.50467,0.13775,1.4,0.42,1.82,1.78,-0.54,-0.602,0,0,0,0,0,0,0,0,0,0,0,0
193012,-0.075462514,-0.07278,-2.750666503,-2.827796539,-2.760923003,0.00817,0.55475,0.11389,1.48,-0.7,1.82,2.19,-0.2,-0.606,0,0,0,0,0,0,0,0,0,0,0,0
193101,0.056426393,0.05813,-2.812065031,-2.764330865,-2.840073365,0.00522,0.53915,0.08972,1.24,-1.21,2.19,1.99,3.24,-1.829,0,0,0,0,0,0,1,0,0,0,0,0
193102,0.103707628,0.10944,-2.934300917,-2.82602359,-2.980785967,0.00288,0.47967,0.08254,1.06,0.85,2.32,1.95,-0.17,-1.242,0,0,0,0,0,0,1,1,1,0,0,0
193103,-0.071831477,-0.06934,-2.876685141,-2.948350691,-2.942643109,0.00417,0.52913,0.07398,1.38,1.04,1.94,2.05,-0.1,-1.258,0,0,0,0,0,0,0,1,1,0,0,0
193104,-0.098867884,-0.09426,-2.790157663,-2.890935128,-2.876551202,0.00671,0.60321,0.07778,1.49,0.86,1.78,2.32,-0.19,-0.637,0,0,0,0,0,0,0,0,0,0,0,0
193105,-0.148916931,-0.13847,-2.657177502,-2.804723138,-2.764937576,0.00691,0.70995,0.07138,0.88,1.45,2.29,2.78,-0.11,-0.641,0,0,0,0,0,0,0,0,0,0,0,0
193106,0.135805506,0.14559,-2.802012672,-2.671847152,-2.93237449,0.02333,0.60727,0.06376,0.55,0.04,2.64,3,0.48,-1.29,0,0,0,0,0,0,1,0,0,0,0,0
193107,-0.079269459,-0.07627,-2.739831792,-2.816900729,-2.894020065,0.00704,0.67361,0.03401,0.41,-0.42,2.84,2.72,0.94,-1.307,0,0,0,0,0,0,0,1,0,0,0,0
193108,0.007150072,0.00718,-2.764483133,-2.755059359,-2.943717739,0.00454,0.65419,0.02016,0.42,0.12,2.84,3.07,0,0,0,0,0,0,0,0,1,0,1,0,0,0
193109,-0.339219183,-0.28776,-2.423979172,-2.779829883,-2.629831226,0.02346,0.944,0.03037,0.45,-2.81,3.08,3.52,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0
193110,0.073638003,0.07644,-2.520637164,-2.439565121,-2.754705893,0.0425,0.87718,0.01127,1.7,-3.3,2.15,4.05,-0.33,-0.662,0,0,0,0,0,0,1,0,0,0,0,0
193111,-0.107371639,-0.10191,-2.433653356,-2.536589884,-2.697578901,0.01143,0.97156,0.0034,1.77,0.27,2.08,3.99,-2.16,-0.667,0,0,0,0,0,0,0,0,0,0,0,0
193112,-0.149688254,-0.13926,-2.292781093,-2.449742737,-2.588626476,0.0212,1.17073,-0.01292,2.41,-2.2,1.66,5.1,-0.66,-1.342,0,0,0,0,0,0,0,0,0,0,0,0
193201,-0.020178247,-0.02,-2.297149954,-2.325883973,-2.587651241,0.01738,1.19138,-0.01158,2.48,0.34,1.42,3.93,-0.86,-0.68,0,0,0,0,0,0,0,0,0,0,0,0
193202,0.04989653,0.05128,-2.380709658,-2.331255823,-2.665483048,0.02672,1.11984,-0.01573,2.42,4.13,1.25,3.64,-6.51,-2.055,0,0,0,0,0,0,1,1,0,0,0,0
193203,-0.128892861,-0.12121,-2.290348367,-2.416155062,-2.569061769,0.01341,1.18586,-0.00842,2.25,-0.18,1.45,3.85,3.74,-1.399,0,0,0,0,0,0,0,0,0,0,0,0
193204,-0.231389315,-0.2069,-2.10087019,-2.327096463,-2.373110626,0.01985,1.55373,-0.01547,1.11,6.04,2.25,5.29,-7.8,-0.709,0,0,0,0,0,0,0,0,0,0,0,0
193205,-0.265221203,-0.23322,-1.873246172,-2.138874764,-2.138512561,0.02318,1.94233,-0.03405,0.31,-1.88,3.18,5.64,2.95,-0.714,0,0,0,0,0,0,0,0,0,0,0,0
